Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1083,4,2013-03-21,4139,288,1,1,0,0
1084,4,2013-03-21,7063,876,1,1,0,0
1085,4,2013-03-21,6970,729,1,1,0,0
1086,4,2013-03-21,10277,1062,1,1,0,0
1087,4,2013-03-21,6194,566,1,1,0,1
1088,4,2013-03-21,5827,594,1,1,0,0
1089,4,2013-03-21,9551,1022,1,1,0,0
1090,4,2013-03-21,6454,797,1,1,0,0
1091,4,2013-03-21,8741,703,1,1,0,0
1092,4,2013-03-21,10846,1145,1,1,0,0
1093,4,2013-03-21,8645,894,1,1,0,0
1094,4,2013-03-21,3564,299,1,1,0,0
1095,4,2013-03-21,4744,676,1,1,0,0
1096,4,2013-03-21,4737,587,1,1,0,0
1097,4,2013-03-21,9008,2358,1,1,0,1
1098,4,2013-03-21,5069,735,1,1,0,0
1099,4,2013-03-21,9314,1039,1,1,0,0
1100,4,2013-03-21,5864,720,1,1,0,0
1101,4,2013-03-21,10911,1052,1,1,0,0
1102,4,2013-03-21,7225,710,1,1,0,0
1103,4,2013-03-21,4508,348,1,1,0,0
1104,4,2013-03-21,6054,449,1,1,0,0
1105,4,2013-03-21,3939,474,1,1,0,0
1106,4,2013-03-21,5668,647,1,1,0,0
1107,4,2013-03-21,6441,673,1,1,0,0
1108,4,2013-03-21,6431,658,1,1,0,0
1109,4,2013-03-21,4986,491,1,1,0,0
1110,4,2013-03-21,4767,560,1,1,0,0
1111,4,2013-03-21,6214,528,1,1,0,0
1112,4,2013-03-21,12579,1041,1,1,0,0
1113,4,2013-03-21,7799,849,1,1,0,0
1114,4,2013-03-21,19078,2874,1,1,0,0
1115,4,2013-03-21,6066,422,1,1,0,0
1004,3,2013-03-20,4977,439,1,1,0,0
1005,3,2013-03-20,5806,844,1,1,0,0
1006,3,2013-03-20,6093,850,1,1,0,0
1007,3,2013-03-20,6544,711,1,1,0,0
1008,3,2013-03-20,6273,791,1,1,0,0
1009,3,2013-03-20,5017,464,1,1,0,0
1010,3,2013-03-20,9499,812,1,1,0,0
1011,3,2013-03-20,7066,785,1,1,0,0
1012,3,2013-03-20,4755,460,1,1,0,0
1013,3,2013-03-20,4092,426,1,1,0,0
1014,3,2013-03-20,9009,1011,1,1,0,0
1015,3,2013-03-20,5675,469,1,1,0,1
1016,3,2013-03-20,6125,485,1,1,0,0
1017,3,2013-03-20,8545,1176,1,1,0,0
1018,3,2013-03-20,12183,1440,1,1,0,0
1019,3,2013-03-20,9230,710,1,1,0,0
1020,3,2013-03-20,8656,1139,1,1,0,0
1021,3,2013-03-20,8727,980,1,1,0,0
1022,3,2013-03-20,6033,689,1,1,0,0
1023,3,2013-03-20,7426,752,1,1,0,0
1024,3,2013-03-20,5931,721,1,1,0,0
1025,3,2013-03-20,7892,878,1,1,0,1
1026,3,2013-03-20,9385,1088,1,1,0,0
1027,3,2013-03-20,15869,1858,1,1,0,0
1028,3,2013-03-20,3520,424,1,1,0,0
1029,3,2013-03-20,6679,868,1,1,0,0
1030,3,2013-03-20,4828,431,1,1,0,0
1031,3,2013-03-20,3565,314,1,1,0,0
1032,3,2013-03-20,8905,953,1,1,0,0
1033,3,2013-03-20,15797,1423,1,1,0,0
1034,3,2013-03-20,7824,835,1,1,0,0
1035,3,2013-03-20,5934,672,1,1,0,0
1036,3,2013-03-20,4194,430,1,1,0,0
1037,3,2013-03-20,5639,682,1,1,0,0
1038,3,2013-03-20,6203,491,1,1,0,0
1039,3,2013-03-20,7275,882,1,1,0,0
1040,3,2013-03-20,8380,745,1,1,0,0
1041,3,2013-03-20,6146,673,1,1,0,0
1042,3,2013-03-20,3689,474,1,1,0,0
1043,3,2013-03-20,10106,1261,1,1,0,0
1044,3,2013-03-20,6669,871,1,1,0,0
1045,3,2013-03-20,7017,748,1,1,0,0
1046,3,2013-03-20,8802,630,1,1,0,0
1047,3,2013-03-20,4738,485,1,1,0,0
1048,3,2013-03-20,6566,479,1,1,0,0
1049,3,2013-03-20,4205,700,1,1,0,0
1050,3,2013-03-20,6409,426,1,1,0,0
1051,3,2013-03-20,7367,1101,1,1,0,0
1052,3,2013-03-20,6137,623,1,1,0,0
1053,3,2013-03-20,10681,1207,1,1,0,1
1054,3,2013-03-20,6468,653,1,1,0,0
1055,3,2013-03-20,8556,1016,1,1,0,0
1056,3,2013-03-20,3112,285,1,1,0,0
1057,3,2013-03-20,6707,598,1,1,0,0
1058,3,2013-03-20,5983,551,1,1,0,0
1059,3,2013-03-20,7958,1127,1,1,0,0
1060,3,2013-03-20,6380,773,1,1,0,0
1061,3,2013-03-20,6239,444,1,1,0,0
1062,3,2013-03-20,6101,563,1,1,0,1
1063,3,2013-03-20,4631,551,1,1,0,0
1064,3,2013-03-20,7791,895,1,1,0,0
1065,3,2013-03-20,4005,497,1,1,0,0
1066,3,2013-03-20,9525,915,1,1,0,0
1067,3,2013-03-20,4262,394,1,1,0,0
1068,3,2013-03-20,4006,274,1,1,0,0
1069,3,2013-03-20,8965,1156,1,1,0,0
1070,3,2013-03-20,7675,974,1,1,0,1
1071,3,2013-03-20,7104,818,1,1,0,0
1072,3,2013-03-20,6764,586,1,1,0,0
1073,3,2013-03-20,6787,844,1,1,0,0
1074,3,2013-03-20,5464,558,1,1,0,0
1075,3,2013-03-20,10756,1057,1,1,0,0
1076,3,2013-03-20,2409,384,1,1,0,0
1077,3,2013-03-20,3693,417,1,1,0,0
1078,3,2013-03-20,5874,507,1,1,0,0
1079,3,2013-03-20,10135,725,1,1,0,0
1080,3,2013-03-20,11357,848,1,1,0,0
1081,3,2013-03-20,0,0,0,1,0,0
1082,3,2013-03-20,7750,1121,1,1,0,0
1083,3,2013-03-20,4686,300,1,1,0,0
1084,3,2013-03-20,6251,787,1,1,0,0
1085,3,2013-03-20,8708,867,1,1,0,0
1086,3,2013-03-20,10645,971,1,1,0,0
1087,3,2013-03-20,6129,587,1,1,0,1
1088,3,2013-03-20,4372,417,1,1,0,0
1089,3,2013-03-20,8942,858,1,1,0,0
1090,3,2013-03-20,8077,1062,1,1,0,0
1091,3,2013-03-20,8420,591,1,1,0,0
1092,3,2013-03-20,12178,1220,1,1,0,0
1093,3,2013-03-20,9802,940,1,1,0,0
1094,3,2013-03-20,3913,313,1,1,0,0
1095,3,2013-03-20,5286,716,1,1,0,0
1096,3,2013-03-20,4271,497,1,1,0,0
1097,3,2013-03-20,8829,2364,1,1,0,1
1098,3,2013-03-20,6225,853,1,1,0,0
1099,3,2013-03-20,8776,996,1,1,0,0
1100,3,2013-03-20,5542,619,1,1,0,0
1101,3,2013-03-20,10023,946,1,1,0,0
1102,3,2013-03-20,7961,774,1,1,0,0
1103,3,2013-03-20,5077,340,1,1,0,0
1104,3,2013-03-20,5398,429,1,1,0,0
1105,3,2013-03-20,3052,340,1,1,0,0
1106,3,2013-03-20,5273,573,1,1,0,0
1107,3,2013-03-20,6321,715,1,1,0,0
1108,3,2013-03-20,6698,672,1,1,0,0
1109,3,2013-03-20,5295,482,1,1,0,0
1110,3,2013-03-20,4623,566,1,1,0,0
1111,3,2013-03-20,4320,403,1,1,0,0
1112,3,2013-03-20,12100,915,1,1,0,0
1113,3,2013-03-20,6915,717,1,1,0,0
1114,3,2013-03-20,19273,2831,1,1,0,0
1115,3,2013-03-20,5459,389,1,1,0,0
1004,2,2013-03-19,5455,488,1,1,0,0
1005,2,2013-03-19,7423,1086,1,1,0,0
1006,2,2013-03-19,5853,810,1,1,0,0
1007,2,2013-03-19,6529,746,1,1,0,0
1008,2,2013-03-19,5896,756,1,1,0,0
1009,2,2013-03-19,6307,543,1,1,0,0
1010,2,2013-03-19,8689,728,1,1,0,0
1011,2,2013-03-19,8668,1058,1,1,0,0
1012,2,2013-03-19,5189,432,1,1,0,0
1013,2,2013-03-19,5454,601,1,1,0,0
1014,2,2013-03-19,15163,1787,1,1,0,0
1015,2,2013-03-19,6320,478,1,1,0,0
1016,2,2013-03-19,6935,571,1,1,0,0
1017,2,2013-03-19,8564,1225,1,1,0,0
1018,2,2013-03-19,11230,1289,1,1,0,0
1019,2,2013-03-19,10507,806,1,1,0,0
1020,2,2013-03-19,9725,1276,1,1,0,0
1021,2,2013-03-19,8166,937,1,1,0,0
1022,2,2013-03-19,7833,861,1,1,0,0
1023,2,2013-03-19,6098,555,1,1,0,0
1024,2,2013-03-19,6043,730,1,1,0,0
1025,2,2013-03-19,9185,1027,1,1,0,0
1026,2,2013-03-19,12182,1437,1,1,0,0
1027,2,2013-03-19,16788,1911,1,1,0,0
1028,2,2013-03-19,5615,696,1,1,0,0
1029,2,2013-03-19,7098,914,1,1,0,0
1030,2,2013-03-19,4877,421,1,1,0,0
1031,2,2013-03-19,5761,478,1,1,0,0
1032,2,2013-03-19,9192,1027,1,1,0,0
1033,2,2013-03-19,13358,1204,1,1,0,0
1034,2,2013-03-19,7731,887,1,1,0,0
1035,2,2013-03-19,6384,727,1,1,0,0
1036,2,2013-03-19,4975,450,1,1,0,0
1037,2,2013-03-19,6894,898,1,1,0,0
1038,2,2013-03-19,5973,486,1,1,0,0
1039,2,2013-03-19,8113,988,1,1,0,0
1040,2,2013-03-19,8925,897,1,1,0,0
1041,2,2013-03-19,6624,758,1,1,0,0
1042,2,2013-03-19,4384,610,1,1,0,0
1043,2,2013-03-19,9474,1180,1,1,0,0
1044,2,2013-03-19,7763,1006,1,1,0,0
1045,2,2013-03-19,7903,884,1,1,0,0
1046,2,2013-03-19,8067,612,1,1,0,0
1047,2,2013-03-19,5558,577,1,1,0,0
1048,2,2013-03-19,7758,550,1,1,0,0
1049,2,2013-03-19,4637,685,1,1,0,0
1050,2,2013-03-19,7838,507,1,1,0,0
1051,2,2013-03-19,8967,1178,1,1,0,0
1052,2,2013-03-19,8404,852,1,1,0,0
1053,2,2013-03-19,11226,1136,1,1,0,1
1054,2,2013-03-19,7306,700,1,1,0,0
1055,2,2013-03-19,7913,963,1,1,0,0
1056,2,2013-03-19,2951,274,1,1,0,0
1057,2,2013-03-19,6680,603,1,1,0,0
1058,2,2013-03-19,8227,738,1,1,0,0
1059,2,2013-03-19,9366,1205,1,1,0,0
1060,2,2013-03-19,7479,860,1,1,0,0
1061,2,2013-03-19,6713,475,1,1,0,0
1062,2,2013-03-19,8238,735,1,1,0,0
1063,2,2013-03-19,4812,552,1,1,0,0
1064,2,2013-03-19,10335,1143,1,1,0,0
1065,2,2013-03-19,4906,566,1,1,0,0
1066,2,2013-03-19,11852,1172,1,1,0,0
1067,2,2013-03-19,5801,487,1,1,0,0
1068,2,2013-03-19,4096,268,1,1,0,0
1069,2,2013-03-19,7681,882,1,1,0,0
1070,2,2013-03-19,8392,986,1,1,0,1
1071,2,2013-03-19,7388,843,1,1,0,0
1072,2,2013-03-19,9383,720,1,1,0,0
1073,2,2013-03-19,8282,1023,1,1,0,0
1074,2,2013-03-19,5333,562,1,1,0,0
1075,2,2013-03-19,10081,976,1,1,0,0
1076,2,2013-03-19,3769,555,1,1,0,0
1077,2,2013-03-19,5386,551,1,1,0,0
1078,2,2013-03-19,7775,530,1,1,0,0
1079,2,2013-03-19,12852,879,1,1,0,0
1080,2,2013-03-19,11234,923,1,1,0,0
1081,2,2013-03-19,0,0,0,1,0,0
1082,2,2013-03-19,7305,1044,1,1,0,0
1083,2,2013-03-19,4934,339,1,1,0,0
1084,2,2013-03-19,6781,873,1,1,0,0
1085,2,2013-03-19,7355,709,1,1,0,0
1086,2,2013-03-19,13491,1291,1,1,0,0
1087,2,2013-03-19,6580,599,1,1,0,1
1088,2,2013-03-19,5193,509,1,1,0,0
1089,2,2013-03-19,10594,1054,1,1,0,0
1090,2,2013-03-19,7343,854,1,1,0,0
1091,2,2013-03-19,8528,616,1,1,0,0
1092,2,2013-03-19,13486,1303,1,1,0,0
1093,2,2013-03-19,7138,767,1,1,0,0
1094,2,2013-03-19,4390,353,1,1,0,0
1095,2,2013-03-19,5472,731,1,1,0,0
1096,2,2013-03-19,5176,649,1,1,0,0
1097,2,2013-03-19,9454,2501,1,1,0,0
1098,2,2013-03-19,6244,818,1,1,0,0
1099,2,2013-03-19,8888,880,1,1,0,0
1100,2,2013-03-19,7443,893,1,1,0,0
1101,2,2013-03-19,11152,987,1,1,0,0
1102,2,2013-03-19,8078,818,1,1,0,0
1103,2,2013-03-19,5088,366,1,1,0,0
1104,2,2013-03-19,5879,439,1,1,0,0
1105,2,2013-03-19,4000,439,1,1,0,0
1106,2,2013-03-19,5379,586,1,1,0,0
1107,2,2013-03-19,8683,828,1,1,0,0
1108,2,2013-03-19,6768,720,1,1,0,0
1109,2,2013-03-19,6054,515,1,1,0,0
1110,2,2013-03-19,4923,554,1,1,0,0
1111,2,2013-03-19,6250,550,1,1,0,0
1112,2,2013-03-19,13620,1053,1,1,0,0
1113,2,2013-03-19,6524,687,1,1,0,0
1114,2,2013-03-19,19992,2817,1,1,0,0
1115,2,2013-03-19,5732,394,1,1,0,0
1004,1,2013-03-18,7260,562,1,1,0,0
1005,1,2013-03-18,9335,1282,1,1,0,0
1006,1,2013-03-18,7087,885,1,1,0,0
1007,1,2013-03-18,7260,731,1,1,0,0
1008,1,2013-03-18,6241,763,1,1,0,0
1009,1,2013-03-18,5893,496,1,1,0,0
1010,1,2013-03-18,7967,681,1,1,0,0
1011,1,2013-03-18,11319,1247,1,1,0,0
1012,1,2013-03-18,6167,504,1,1,0,0
1013,1,2013-03-18,7204,732,1,1,0,0
1014,1,2013-03-18,17945,1938,1,1,0,0
1015,1,2013-03-18,7784,592,1,1,0,0
1016,1,2013-03-18,9262,748,1,1,0,0
1017,1,2013-03-18,10794,1359,1,1,0,0
1018,1,2013-03-18,16009,1692,1,1,0,0
1019,1,2013-03-18,12972,903,1,1,0,0
1020,1,2013-03-18,13308,1564,1,1,0,0
1021,1,2013-03-18,10820,1174,1,1,0,0
1022,1,2013-03-18,10695,1113,1,1,0,0
1023,1,2013-03-18,10060,909,1,1,0,0
1024,1,2013-03-18,5901,736,1,1,0,0
1025,1,2013-03-18,10302,1098,1,1,0,0
1026,1,2013-03-18,14198,1584,1,1,0,0
1027,1,2013-03-18,17484,1797,1,1,0,0
1028,1,2013-03-18,6429,703,1,1,0,0
1029,1,2013-03-18,6933,921,1,1,0,0
1030,1,2013-03-18,4498,378,1,1,0,0
1031,1,2013-03-18,8336,635,1,1,0,0
1032,1,2013-03-18,10879,1054,1,1,0,0
1033,1,2013-03-18,18656,1634,1,1,0,0
1034,1,2013-03-18,10811,1116,1,1,0,0
1035,1,2013-03-18,8747,861,1,1,0,0
1036,1,2013-03-18,5842,528,1,1,0,0
1037,1,2013-03-18,9069,1193,1,1,0,0
1038,1,2013-03-18,8079,603,1,1,0,0
1039,1,2013-03-18,9565,1193,1,1,0,0
1040,1,2013-03-18,13474,1227,1,1,0,0
1041,1,2013-03-18,7116,678,1,1,0,0
1042,1,2013-03-18,5853,712,1,1,0,0
1043,1,2013-03-18,9551,1164,1,1,0,0
1044,1,2013-03-18,9405,1136,1,1,0,0
1045,1,2013-03-18,4558,534,1,1,0,0
1046,1,2013-03-18,10301,767,1,1,0,0
1047,1,2013-03-18,7390,727,1,1,0,0
1048,1,2013-03-18,6985,482,1,1,0,0
1049,1,2013-03-18,4536,671,1,1,0,0
1050,1,2013-03-18,9601,624,1,1,0,0
1051,1,2013-03-18,9601,1172,1,1,0,0
1052,1,2013-03-18,10673,1012,1,1,0,0
1053,1,2013-03-18,12812,1234,1,1,0,1
1054,1,2013-03-18,6159,627,1,1,0,0
1055,1,2013-03-18,11093,1227,1,1,0,0
1056,1,2013-03-18,3887,332,1,1,0,0
1057,1,2013-03-18,6909,605,1,1,0,0
1058,1,2013-03-18,10104,898,1,1,0,0
1059,1,2013-03-18,9574,1213,1,1,0,0
1060,1,2013-03-18,10263,1075,1,1,0,0
1061,1,2013-03-18,7946,543,1,1,0,0
1062,1,2013-03-18,9432,849,1,1,0,0
1063,1,2013-03-18,5812,636,1,1,0,0
1064,1,2013-03-18,12517,1418,1,1,0,0
1065,1,2013-03-18,4489,491,1,1,0,0
1066,1,2013-03-18,14440,1392,1,1,0,0
1067,1,2013-03-18,6740,533,1,1,0,0
1068,1,2013-03-18,5445,344,1,1,0,0
1069,1,2013-03-18,9295,976,1,1,0,0
1070,1,2013-03-18,10173,1158,1,1,0,1
1071,1,2013-03-18,6515,780,1,1,0,0
1072,1,2013-03-18,10209,909,1,1,0,0
1073,1,2013-03-18,9045,1087,1,1,0,0
1074,1,2013-03-18,5725,623,1,1,0,0
1075,1,2013-03-18,13415,1218,1,1,0,0
1076,1,2013-03-18,4804,684,1,1,0,0
1077,1,2013-03-18,6657,626,1,1,0,0
1078,1,2013-03-18,7916,598,1,1,0,0
1079,1,2013-03-18,12619,916,1,1,0,0
1080,1,2013-03-18,11892,946,1,1,0,0
1081,1,2013-03-18,0,0,0,1,0,0
1082,1,2013-03-18,9765,1309,1,1,0,0
1083,1,2013-03-18,5559,366,1,1,0,0
1084,1,2013-03-18,8452,1047,1,1,0,0
1085,1,2013-03-18,11013,1036,1,1,0,0
1086,1,2013-03-18,14151,1364,1,1,0,0
1087,1,2013-03-18,7978,747,1,1,0,1
1088,1,2013-03-18,7716,729,1,1,0,0
1089,1,2013-03-18,13495,1252,1,1,0,0
1090,1,2013-03-18,9644,1030,1,1,0,0
1091,1,2013-03-18,8844,658,1,1,0,0
1092,1,2013-03-18,12919,1193,1,1,0,0
1093,1,2013-03-18,10064,984,1,1,0,0
1094,1,2013-03-18,4435,355,1,1,0,0
1095,1,2013-03-18,6736,823,1,1,0,0
1096,1,2013-03-18,6540,783,1,1,0,0
1097,1,2013-03-18,9977,2386,1,1,0,0
1098,1,2013-03-18,7454,961,1,1,0,0
1099,1,2013-03-18,10420,1062,1,1,0,0
1100,1,2013-03-18,10303,1061,1,1,0,0
1101,1,2013-03-18,11964,1036,1,1,0,0
1102,1,2013-03-18,8482,850,1,1,0,0
1103,1,2013-03-18,6867,472,1,1,0,0
1104,1,2013-03-18,6327,476,1,1,0,0
1105,1,2013-03-18,6236,628,1,1,0,0
1106,1,2013-03-18,4916,538,1,1,0,0
1107,1,2013-03-18,9022,813,1,1,0,0
1108,1,2013-03-18,8745,901,1,1,0,0
1109,1,2013-03-18,7240,571,1,1,0,0
1110,1,2013-03-18,6431,683,1,1,0,0
1111,1,2013-03-18,8553,734,1,1,0,0
1112,1,2013-03-18,18965,1366,1,1,0,0
1113,1,2013-03-18,7203,725,1,1,0,0
1114,1,2013-03-18,19955,2802,1,1,0,0
1115,1,2013-03-18,7376,520,1,1,0,0
1004,7,2013-03-17,0,0,0,0,0,0
1005,7,2013-03-17,0,0,0,0,0,0
1006,7,2013-03-17,0,0,0,0,0,0
1007,7,2013-03-17,0,0,0,0,0,0
1008,7,2013-03-17,0,0,0,0,0,0
1009,7,2013-03-17,0,0,0,0,0,0
1010,7,2013-03-17,0,0,0,0,0,0
1011,7,2013-03-17,0,0,0,0,0,0
1012,7,2013-03-17,0,0,0,0,0,0
1013,7,2013-03-17,0,0,0,0,0,0
1014,7,2013-03-17,0,0,0,0,0,0
1015,7,2013-03-17,0,0,0,0,0,0
1016,7,2013-03-17,0,0,0,0,0,0
1017,7,2013-03-17,0,0,0,0,0,0
1018,7,2013-03-17,0,0,0,0,0,0
1019,7,2013-03-17,0,0,0,0,0,0
1020,7,2013-03-17,0,0,0,0,0,0
1021,7,2013-03-17,0,0,0,0,0,0
1022,7,2013-03-17,0,0,0,0,0,0
1023,7,2013-03-17,0,0,0,0,0,0
1024,7,2013-03-17,0,0,0,0,0,0
1025,7,2013-03-17,0,0,0,0,0,0
1026,7,2013-03-17,0,0,0,0,0,0
1027,7,2013-03-17,0,0,0,0,0,0
1028,7,2013-03-17,0,0,0,0,0,0
1029,7,2013-03-17,0,0,0,0,0,0
1030,7,2013-03-17,0,0,0,0,0,0
1031,7,2013-03-17,0,0,0,0,0,0
1032,7,2013-03-17,0,0,0,0,0,0
1033,7,2013-03-17,0,0,0,0,0,0
1034,7,2013-03-17,0,0,0,0,0,0
1035,7,2013-03-17,0,0,0,0,0,0
1036,7,2013-03-17,0,0,0,0,0,0
1037,7,2013-03-17,0,0,0,0,0,0
1038,7,2013-03-17,0,0,0,0,0,0
1039,7,2013-03-17,0,0,0,0,0,0
1040,7,2013-03-17,0,0,0,0,0,0
1041,7,2013-03-17,0,0,0,0,0,0
1042,7,2013-03-17,0,0,0,0,0,0
1043,7,2013-03-17,0,0,0,0,0,0
1044,7,2013-03-17,0,0,0,0,0,0
1045,7,2013-03-17,0,0,0,0,0,0
1046,7,2013-03-17,0,0,0,0,0,0
1047,7,2013-03-17,0,0,0,0,0,0
1048,7,2013-03-17,0,0,0,0,0,0
1049,7,2013-03-17,0,0,0,0,0,0
1050,7,2013-03-17,0,0,0,0,0,0
1051,7,2013-03-17,0,0,0,0,0,0
1052,7,2013-03-17,0,0,0,0,0,0
1053,7,2013-03-17,0,0,0,0,0,0
1054,7,2013-03-17,0,0,0,0,0,0
1055,7,2013-03-17,0,0,0,0,0,0
1056,7,2013-03-17,0,0,0,0,0,0
1057,7,2013-03-17,0,0,0,0,0,0
1058,7,2013-03-17,0,0,0,0,0,0
1059,7,2013-03-17,0,0,0,0,0,0
1060,7,2013-03-17,0,0,0,0,0,0
1061,7,2013-03-17,0,0,0,0,0,0
1062,7,2013-03-17,0,0,0,0,0,0
1063,7,2013-03-17,0,0,0,0,0,0
1064,7,2013-03-17,0,0,0,0,0,0
1065,7,2013-03-17,0,0,0,0,0,0
1066,7,2013-03-17,0,0,0,0,0,0
1067,7,2013-03-17,0,0,0,0,0,0
1068,7,2013-03-17,0,0,0,0,0,0
1069,7,2013-03-17,0,0,0,0,0,0
1070,7,2013-03-17,0,0,0,0,0,0
1071,7,2013-03-17,0,0,0,0,0,0
1072,7,2013-03-17,0,0,0,0,0,0
1073,7,2013-03-17,0,0,0,0,0,0
1074,7,2013-03-17,0,0,0,0,0,0
1075,7,2013-03-17,0,0,0,0,0,0
1076,7,2013-03-17,0,0,0,0,0,0
1077,7,2013-03-17,0,0,0,0,0,0
1078,7,2013-03-17,0,0,0,0,0,0
1079,7,2013-03-17,0,0,0,0,0,0
1080,7,2013-03-17,0,0,0,0,0,0
1081,7,2013-03-17,0,0,0,0,0,0
1082,7,2013-03-17,0,0,0,0,0,0
1083,7,2013-03-17,0,0,0,0,0,0
1084,7,2013-03-17,0,0,0,0,0,0
1085,7,2013-03-17,0,0,0,0,0,0
1086,7,2013-03-17,0,0,0,0,0,0
1087,7,2013-03-17,0,0,0,0,0,0
1088,7,2013-03-17,0,0,0,0,0,0
1089,7,2013-03-17,0,0,0,0,0,0
1090,7,2013-03-17,0,0,0,0,0,0
1091,7,2013-03-17,0,0,0,0,0,0
1092,7,2013-03-17,0,0,0,0,0,0
1093,7,2013-03-17,0,0,0,0,0,0
1094,7,2013-03-17,0,0,0,0,0,0
1095,7,2013-03-17,0,0,0,0,0,0
1096,7,2013-03-17,0,0,0,0,0,0
1097,7,2013-03-17,9827,2398,1,0,0,0
1098,7,2013-03-17,0,0,0,0,0,0
1099,7,2013-03-17,4415,668,1,0,0,0
1100,7,2013-03-17,0,0,0,0,0,0
1101,7,2013-03-17,0,0,0,0,0,0
1102,7,2013-03-17,0,0,0,0,0,0
1103,7,2013-03-17,0,0,0,0,0,0
1104,7,2013-03-17,0,0,0,0,0,0
1105,7,2013-03-17,0,0,0,0,0,0
1106,7,2013-03-17,0,0,0,0,0,0
1107,7,2013-03-17,0,0,0,0,0,0
1108,7,2013-03-17,0,0,0,0,0,0
1109,7,2013-03-17,0,0,0,0,0,0
1110,7,2013-03-17,0,0,0,0,0,0
1111,7,2013-03-17,0,0,0,0,0,0
